"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"2057","fd-39304662","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39304662.html","clean","1 826","110  ","6","5"," 2",NA,"31300","37","4"
"2058","fd-37102991","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37102991.html","clean","1 690","150  ","5","4"," 4","2011","31200","28","13"
"2059","fd-35603754","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-35603754.html","clean","1 950","118  ","4","3"," 2",NA,"31000",NA,NA
"2060","fd-39673757","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39673757.html","clean","1 530","119  ","4","2",NA,NA,"31000",NA,NA
"2061","fd-39693389","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39693389.html","clean","1 745","123  ","5",NA,NA,NA,"31400","87","10"
"2062","fd-39693114","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39693114.html","clean","1 590","135  ","4",NA,NA,NA,"31000",NA,NA
"2063","fd-39121005","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39121005.html","clean","1 610","114  ","4",NA,NA,NA,"31000","50","35"
"2064","fd-39121483","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39121483.html","clean","1 740","124  ","4",NA,NA,NA,"31000","30","20"
"2065","fd-39683220","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39683220.html","clean","1 790","117  ","4",NA,NA,NA,"31000","30","5"
"2066","fd-39431794","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39431794.html","clean","1 950","134  ","4",NA,NA,NA,"31400","50","5"
"2067","fd-39664698","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39664698.html","clean","1 990","139  ","4",NA,NA,NA,"31000",NA,NA
"2068","fd-39655687","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39655687.html","clean","1 860","143  ","4",NA,NA,NA,"31000",NA,NA
"2069","fd-39367757","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39367757.html","clean","1 880","120  ","5",NA,NA,NA,"31000","30","55"
"2070","fd-39673758","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39673758.html","clean","1 848","130  ","5","3"," 1",NA,"31000",NA,NA
"2071","fd-37962939","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37962939.html","clean","1 930","124  ","4","3"," 4",NA,"31000","25","7"
"2072","fd-38516178","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38516178.html","clean","1 925","140  ","5","4"," 2",NA,"31000","14","12"
"2073","fd-37879470","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37879470.html","clean","1 680","125  ","4","3"," 6","1980","31000","11","18"
"2074","fd-37845008","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37845008.html","clean","1 630","124  ","4","3"," 1",NA,"31000",NA,NA
